model,forward_pass,experts_selected,phase,start_s,end_s,duration_s,power_w
LLaMA-MoE 6.7B,5,1,alltoall_1,3.149517643,3.387894474,0.238376831,84.0000
LLaMA-MoE 6.7B,5,1,experts,3.387894474,3.548344114,0.16044964,700.0000
LLaMA-MoE 6.7B,5,1,alltoall_2,3.548344114,3.786720945,0.238376831,84.0000
LLaMA-MoE 6.7B,5,1,addnorm,3.786720945,3.788834889,0.002113945,140.0000
LLaMA-MoE 6.7B,6,0,attention,3.788834889,3.906694489,0.1178596,700.0000
LLaMA-MoE 6.7B,6,0,gate,3.906694489,3.907284621,0.000590131,280.0000
LLaMA-MoE 6.7B,6,0,alltoall_1,3.907284621,4.145661452,0.238376831,84.0000
LLaMA-MoE 6.7B,6,0,experts,4.145661452,4.306111092,0.16044964,700.0000
LLaMA-MoE 6.7B,6,0,alltoall_2,4.306111092,4.544487923,0.238376831,84.0000
LLaMA-MoE 6.7B,6,0,addnorm,4.544487923,4.546601867,0.002113945,140.0000
LLaMA-MoE 6.7B,7,1,attention,4.546601867,4.664461467,0.1178596,700.0000
LLaMA-MoE 6.7B,7,1,gate,4.664461467,4.665051599,0.000590131,280.0000
LLaMA-MoE 6.7B,7,1,alltoall_1,4.665051599,4.90342843,0.238376831,84.0000
LLaMA-MoE 6.7B,7,1,experts,4.90342843,5.06387807,0.16044964,700.0000
LLaMA-MoE 6.7B,7,1,alltoall_2,5.06387807,5.3022549,0.238376831,84.0000
LLaMA-MoE 6.7B,7,1,addnorm,5.3022549,5.304368845,0.002113945,140.0000
LLaMA-MoE 6.7B,8,1,attention,5.304368845,5.422228445,0.1178596,700.0000
LLaMA-MoE 6.7B,8,1,gate,5.422228445,5.422818576,0.000590131,280.0000
LLaMA-MoE 6.7B,8,1,alltoall_1,5.422818576,5.661195407,0.238376831,84.0000
LLaMA-MoE 6.7B,8,1,experts,5.661195407,5.821645047,0.16044964,700.0000
LLaMA-MoE 6.7B,8,1,alltoall_2,5.821645047,6.060021878,0.238376831,84.0000
LLaMA-MoE 6.7B,8,1,addnorm,6.060021878,6.062135823,0.002113945,140.0000
LLaMA-MoE 6.7B,9,1,attention,6.062135823,6.179995423,0.1178596,700.0000
LLaMA-MoE 6.7B,9,1,gate,6.179995423,6.180585554,0.000590131,280.0000
LLaMA-MoE 6.7B,9,1,alltoall_1,6.180585554,6.418962385,0.238376831,84.0000
LLaMA-MoE 6.7B,9,1,experts,6.418962385,6.579412025,0.16044964,700.0000
LLaMA-MoE 6.7B,9,1,alltoall_2,6.579412025,6.817788856,0.238376831,84.0000
LLaMA-MoE 6.7B,9,1,addnorm,6.817788856,6.819902801,0.002113945,140.0000
LLaMA-MoE 6.7B,10,1,attention,6.819902801,6.937762401,0.1178596,700.0000
LLaMA-MoE 6.7B,10,1,gate,6.937762401,6.938352532,0.000590131,280.0000
LLaMA-MoE 6.7B,10,1,alltoall_1,6.938352532,7.176729363,0.238376831,84.0000
LLaMA-MoE 6.7B,10,1,experts,7.176729363,7.337179003,0.16044964,700.0000
LLaMA-MoE 6.7B,10,1,alltoall_2,7.337179003,7.575555834,0.238376831,84.0000
LLaMA-MoE 6.7B,10,1,addnorm,7.575555834,7.577669779,0.002113945,140.0000
